"","NAME","Y","X"
"1017","The Gord",1218578,461298
"1016","Wilna Geo",1218524,460938
"1018","The Framd",1218314,461394
"1019","The Fild",1218034,461573
"1020","Iron Geo",1217489,461578
"1021","Brim Ness",1217263,461708
"6019","RRH Saxa Vord",1216594,463097
"12097","Houll",1216415,465426
"6020","Skaw",1216372,465842
"6021","Norwick",1214153,465119
"945","Burrafirth",1213717,461140
"6022","Saxa Vord",1213455,464094
"947","Haroldswick",1212366,463742
"6039","Hagdale",1210583,464177
"6024","Baliasta",1209592,460546
"6040","Hamar",1209306,464232
"946","Baltasound",1209023,462152
"6023","Ordale",1207820,463426
"12753","Newgord",1206129,457219
"3418","Westing",1205706,457308
"6011","Breckon",1204896,452596
"6012","Gloup",1204650,450723
"6017","Underhoull",1204148,457634
"6016","Lund",1203600,457163
"6010","Cullivoe",1203125,453998
"6009","Stonganess",1202216,454437
"6014","Uyeasound",1201363,459565
"6013","Muness",1201242,462937
"6015","Clivocast",1201105,460047
"3444","Belmont",1200740,456833
"3442","Ramnageo",1200133,462641
"6008","South Garth",1199536,454818
"6004","Dalsetter",1199228,450864
"6007","Gutcher",1198900,454368
"6005","Sellafirth",1197885,452193
"6003","Colvister",1197038,451390
"6006","Cunnister",1196829,452696
"5670","Basta",1194422,452310
"12061","Urie",1193829,459371
"12064","Colbinstoft",1193827,461306
"12062","Uriesetter",1193591,460057
"12063","Russetter",1193481,460881
"6002","Grimister",1193253,446761
"6000","Camb",1192526,450940
"12065","Mongirsdale",1192210,464160
"12083","Crossbister",1192181,460877
"12082","Northdale",1191904,460529
"12077","Tafts",1191854,460843
"12067","Taften",1191790,466310
"12076","Newerhouse",1191692,460855
"12078","Baelans",1191684,460397
"12068","Strand",1191520,466202
"12079","Clothin",1191453,460876
"12080","Southdale",1191417,460443
"12069","Kirkhouse",1191207,465990
"12075","Velzie",1191101,460411
"12066","Still",1190993,464471
"5990","Isbister",1190945,437117
"5999","Mid Yell",1190810,451461
"12081","Aith",1190161,463729
"12072","Houll",1189646,465359
"5989","North Roe",1189596,436521
"5998","Vatsetter",1189518,453685
"12071","Baeligord",1189275,465107
"12070","Litlaland",1189074,465347
"6001","West Sandwick",1188133,444892
"12074","Helliersness",1188110,460245
"12073","Mailand",1187893,460591
"5997","Aywick",1186665,452989
"5996","Otterswick",1185767,452227
"5988","Housetter",1184994,436435
"5987","North Collafirth",1183158,435136
"5995","Gossabrough",1183078,453090
"5986","South Collafirth",1182853,434882
"12060","Feal",1181151,431207
"5985","Voe",1181148,433401
"5984","Heylor",1180816,429187
"5991","Ollaberry",1180636,436655
"5992","Ulsta",1180224,446368
"7161","Littlester",1179961,450743
"5994","Burravoe",1179837,451979
"14432","Norrabister",1179746,444343
"5993","Brough",1179481,451940
"9969","Braewick",1178986,424268
"6258","Esha Ness",1178629,421707
"5983","Urafirth",1178489,430350
"9368","Tangwick",1177868,423249
"12112","Out-ton",1177836,443689
"3491","North Gluss",1177569,434654
"12113","Brough",1177517,443703
"3492","Bardister",1177296,435789
"12096","Waterside",1177295,436854
"3490","South Gluss",1177157,434512
"988","Hillswick",1177089,428270
"5969","Toft",1176530,443418
"5967","Mossbank",1175474,445148
"5982","Burraland",1175267,434312
"3494","Croogans",1174633,432191
"3495","Enisfirth",1174588,431982
"3496","Gunnister",1174277,432055
"5968","Firth",1174192,444194
"5977","Sullom",1173262,435595
"5970","Graven",1173142,441052
"3983","Bruray",1171783,468641
"3984","Grunay",1171514,469303
"5978","Lunnister",1171433,434928
"5902","Hamnavoe",1171325,449809
"5981","Mangaster",1170837,432967
"12114","Ube",1170798,444310
"5971","Trondavoe",1170509,437625
"5979","Haggrister",1170448,434641
"12118","Camperdown",1169636,444645
"12117","Northlee",1169456,444341
"12115","Gardin",1169439,443330
"5903","Lunna",1169403,448760
"12116","Southlee",1169279,444177
"5980","Islesburgh",1169216,433709
"12119","Sandwick",1168842,445805
"12121","Muddyloch",1168789,447854
"5972","Brae",1168067,435685
"5973","Burravoe",1167049,436258
"12120","Vallayre",1166862,446453
"5976","Busta",1166839,434477
"5904","Swining",1166763,445905
"5905","Lunning",1166756,450567
"12087","North Ham",1166537,430514
"13798","Vaivoe",1166508,457549
"9981","Skaw",1166258,459020
"5974","Roesound",1165856,434053
"3368","Vats-houll",1165854,456983
"12086","West Ness",1165825,429976
"5975","Wethersta",1165681,436041
"12085","Sandhill",1165653,430600
"12084","Burg",1165490,429494
"3369","Challister",1165461,456528
"4436","Vidlin",1165385,447712
"4954","Ve Skerries",1165296,410200
"3376","Creadyknowe",1165135,455845
"3377","Brough",1164973,455514
"12053","Bonidale",1164832,450962
"3375","Newpark",1164757,454921
"3373","Marrister",1164135,454434
"1302","Voe",1163652,440481
"13800","Norrendal",1163403,454415
"13799","North Park",1163228,454343
"3374","Hamister",1163045,454665
"13801","Saltness",1162707,454135
"3370","Huxter",1162395,456070
"3372","Symbister",1162388,454049
"3371","Whitefield",1162346,455057
"13802","Saeter",1162288,454592
"3367","Sandwick",1161676,454165
"13804","Wirlie",1161599,454465
"1780","Shetland Islands",1161216,436911
"9977","Hurdiback",1160681,417838
"9978","Biggings",1160180,417722
"12056","Garths",1159993,448614
"12057","Neap",1158402,450295
"12095","Whalwick",1158206,425796
"14143","Clousta",1157331,431063
"1309","Sandness",1157241,419325
"6257","Huxter",1157142,417471
"12094","Burradale Bottom",1157017,425917
"12093","Brenwell",1156911,422317
"5966","West Burrafirth",1156723,425491
"1303","Aith",1155736,434593
"6275","Ling Ness",1154814,449203
"5961","Setter",1154789,439786
"3506","Verdaskule",1154306,432634
"2918","Twatt",1153527,432674
"3505","Upper Langaskule",1153423,432910
"3504","Lower Langaskule",1153299,432950
"12092","Punds",1152902,418216
"12091","Runkie",1152791,417663
"12090","Swinland",1152546,417647
"1304","Bixter",1152262,433267
"5962","Effirth",1152141,431158
"6274","Glet Ness",1151959,447556
"3502","Murrister",1151711,427655
"1305","Tresta",1151150,436146
"5960","Huxster",1150656,439224
"5963","Semblister",1150466,433454
"12089","Newton",1150357,418191
"12088","Mires",1150348,417888
"12098","Sound",1150193,438287
"1306","Hellister",1149674,438750
"1308","Walls",1149523,424121
"9979","Wadbister",1149519,443174
"4583","Sandsound",1148672,435708
"5954","Haggersta",1148197,438961
"12104","Strom",1148157,439366
"12054","Littlure",1147875,420611
"5964","Sand",1147780,434307
"12059","Hogan",1147010,426422
"5953","Laxfirth",1146807,443273
"12055","Gronataing",1146799,424490
"5952","Whiteness",1146696,439193
"5955","Gott",1146139,443258
"1906","Tingwall Hall",1145907,443228
"12102","Stromness",1145754,438358
"5965","Culswick",1145317,427333
"12101","South Stromness",1144952,438165
"1307","Skeld",1144854,431044
"12058","Stagans",1144783,427271
"5951","Veensgarth",1144502,442926
"10923","Beosetter",1144120,449337
"5949","Gunnista",1143862,450070
"3501","Wester Skeld",1143859,429640
"13618","Gremista",1143632,446794
"5946","Heogan",1143283,447798
"3499","Westerwick",1142715,428303
"3500","Silwick",1142481,429425
"12103","Harpa",1142377,438179
"5945","Holmsgarth",1142353,446527
"13619","Garthspool",1141838,446924
"13620","Freefield",1141785,447252
"8425","Da Sheepie",1141601,395961
"8413","Gaada Stack",1141522,395817
"8426","Arvra Skerry",1141521,395345
"8427","Logat",1141273,395555
"7410","Lerwick",1141270,447696
"1863","East HÃ¦vdi",1141259,395146
"8415","Hiora Wick",1141249,396327
"8412","Strem Ness",1141073,396937
"8428","Skiordar",1140948,396134
"8411","Soberlie",1140894,395142
"5950","Burwick",1140840,439385
"8429","Ruscar",1140679,397228
"6813","Da Kirn o Nort Veedal",1140637,397091
"8437","Da Heights",1140630,395955
"8438","North Harrier",1140575,395519
"6805","Crougar",1140527,396672
"6800","Da Sloag o Ruscar",1140471,397087
"1862","North Bank",1140467,394520
"6797","Da Green Buls",1140446,396556
"5944","Sound",1140441,446184
"6803","Nort Veedal",1140289,397250
"8439","South Harrier",1140094,395954
"1859","Da Kame",1140080,393975
"6801","Da Swaa",1140054,397609
"5947","Grindiscol",1139983,449356
"1858","Da Skerries o da Rokness",1139755,393654
"6806","Da Heoag",1139698,397556
"6804","Da Sukkamires",1139684,397216
"1860","Nebbifield",1139676,393853
"8436","Ouvrafandal",1139664,395601
"5948","Ham",1139656,449368
"10924","East Ham",1139653,449578
